Number,Terminology,Description,Example
70,phoneme,"This term names the smallest contrastive unit of sound in a given language, meaning a minimal unit of sound that, when substituted for another such unit in an otherwise identical word, can change the meaning of that word, making units of this kind the basic building blocks used to distinguish one word from another within a language's sound system. Units of this kind are considered abstract mental categories rather than concrete physical sounds, since a single one is typically realized on the surface by several different phonetic variants, called allophones, whose distribution across different phonetic environments is generally predictable, while the more abstract unit itself represents what speakers store and what remains constant across all of its surface realizations. The full set of such contrastive units that a language employs is established through systematic analysis of minimal pairs and complementary distribution, and different languages can carve up very similar articulatory or acoustic space into quite different sets of these contrastive units, which is why sounds that are contrastive in one language may be mere non-contrastive variants of a single unit in another.",/p/ and /b/ count as two separate such units in English because minimal pairs like 'pat' and 'bat' show that substituting one for the other changes meaning.
71,phonetic form,"This term refers to the level of representation at which a linguistic expression is specified with enough concrete phonetic detail to correspond directly to its actual pronunciation, typically understood as the final output of the phonological component of the grammar after all relevant phonological rules, including both categorical and low-level, gradient phonetic processes, have applied, and it is the representation that most directly interfaces with the actual articulatory and acoustic implementation of speech. In certain generative grammatical architectures, this level is explicitly identified as one of the interface levels connecting the abstract syntactic and phonological computation of the grammar to the physical, articulatory-acoustic systems responsible for actually producing and perceiving speech sounds, contrasting with more abstract levels of representation that may still omit certain low-level phonetic detail that this level is expected to include. Because this level is meant to capture essentially everything relevant to the actual pronunciation of an utterance, it typically includes fine-grained detail, such as precise timing, coarticulatory effects, and gradient phonetic variation, that would often be left unspecified or treated as non-contrastive at more abstract levels.","The fully detailed pronunciation of 'butter' in casual American English includes a flapped medial consonant [ˈbʌɾɚ], reflecting a level of detail beyond the more abstract phonemic representation /ˈbʌtər/."
72,phonetics vs. phonology,"One of this pair of linguistic subfields is concerned with the physical, concrete properties of speech sounds themselves, including how they are produced by the articulators in the vocal tract, how they can be measured and analyzed as physical sound waves, and how they are perceived and processed by listeners, treating speech sounds as continuous physical events without necessarily reference to their function within any particular language's grammar. The other subfield, by contrast, is concerned with the abstract, cognitive organization of sound within a specific language or across languages generally, studying how sounds function contrastively to distinguish meaning, which sounds pattern together as natural classes, what rules govern predictable alternations and possible sound sequences, and how these abstract sound patterns are mentally represented and structured by speakers, treating sound not as raw physical substance but as a structured system with categories, contrasts, and rules. Although the two fields are closely interrelated and mutually informative, since the more abstract categories and rules are ultimately grounded in and constrained by the physical realities the more concrete field describes, the concrete field is typically considered a more universal, language-independent discipline studying the full range of humanly possible speech sounds, while the abstract field is typically considered language-particular, studying how each individual language organizes and constrains a subset of that broader space into a structured contrastive system.","One field would describe the precise voice onset time of aspirated [pʰ], while the other explains why that same aspirated sound is treated as the same phoneme as unaspirated [p] in English."
73,phonotactics,"This term refers to the set of language-specific constraints that determine which sequences of sounds are permissible and which are impermissible within a given language, governing, for example, which consonants and consonant clusters are allowed to occur in onset or coda position, which vowels may follow which consonants, and more generally what the legal shapes of syllables and words are within that particular language's sound system. Constraints of this kind vary enormously from language to language, so that a consonant cluster that is perfectly natural and common in one language may be entirely impossible, or require modification through processes like epenthesis or deletion, when the same sequence appears in a loanword being adapted into a different language with stricter constraints of this type. Many such constraints are explained in terms of sonority, since a broad cross-linguistic tendency favors syllable-internal sonority to rise from the edge of the onset toward the nucleus and then fall again toward the edge of the coda, meaning that consonant clusters violating this sonority-based rise-and-fall pattern are disfavored or outright banned in many languages even when the individual sounds involved are each independently permissible elsewhere in that language.","English constraints of this kind allow the onset cluster /str/ as in 'string' but disallow the cluster /ps/ word-initially, unlike some other languages."
74,plosive (~stop),"This term names a consonant produced through a complete, momentary closure of the vocal tract at some point along its length, fully blocking the flow of air, followed by a sudden release of that closure that produces an audible burst of sound as the built-up air pressure is abruptly released, and it is largely synonymous with the more general term for this manner, though some traditions reserve this label specifically for oral versions with an audible release burst, distinguishing them from nasal versions, which share the complete oral closure but continuously release air through the nose rather than building up pressure for a single burst release. Consonants of this manner are classified according to their place of articulation, spanning the full range from bilabial through glottal, and according to their voicing, and in many languages they additionally show an aspiration contrast, particularly among voiceless members, distinguishing whether or not a noticeable puff of air and delay in voicing follows the release of the closure. Because this manner involves a complete, momentary stoppage of airflow rather than a continuous narrowing, sounds of this type are classified phonologically as non-continuants, in contrast to fricatives and approximants.","/p, t, k, b, d, g/ are the six consonants of this manner in English, produced with a complete oral closure followed by a release burst."
75,plural formation,"This term refers to the set of morphological and phonological processes by which a language marks a noun as referring to more than one entity, and in English this is primarily accomplished by adding a regular suffix to the singular noun, with the precise pronunciation of that suffix determined phonologically rather than being fixed to a single invariant form, illustrating a classic and frequently cited case of a productive morphophonological alternation governed by a small set of general rules. The regular suffix used for this purpose in English surfaces as a voiceless sibilant following a voiceless obstruent other than a sibilant, as a voiced sibilant following a voiced sound other than a sibilant, and as a full extra syllable containing a vowel plus a sibilant when the noun already ends in a sibilant or affricate, a pattern that reflects both a voicing assimilation rule and an epenthesis rule inserted specifically to avoid two sibilants clashing directly against each other. Alongside this productive regular pattern, English also retains a small set of irregular forms for this same grammatical purpose, inherited historically, which do not follow the regular suffixation pattern at all and must instead be learned and stored individually as exceptions.","The suffix used for this purpose surfaces differently in 'cats' [kæts], 'dogs' [dɒgz], and 'buses' [bʌsɪz], depending on the final sound of the singular noun."
76,post-lexical rule,"This term names a phonological rule that applies after all word formation processes within the lexical component of the grammar have been completed, typically operating automatically and without exception across an entire phrase or utterance regardless of morphological structure or grammatical category, in contrast to a rule that applies earlier, is often sensitive to specific morphological environments or word classes, and is more prone to lexical exceptions and idiosyncrasies. Because a rule of this later-applying kind applies late and generally cannot see or refer back to the internal morphological structure of the words it affects, it tends to behave more like an automatic, low-level phonetic process than like a rule governing more abstract, structure-sensitive phonological alternations, and it typically applies completely across the board within its triggering environment, without the kind of exceptions commonly found among earlier-applying rules. This distinction in timing of rule application is a foundational organizing principle of an influential stratal theory of the grammar, and identifying whether a particular rule behaves as earlier- or later-applying, based on criteria such as whether it shows structure sensitivity, exceptions, or interaction with word-formation processes, is an important diagnostic tool in phonological analysis.","Flapping of /t/ in casual American English applies automatically across word boundaries in phrases like 'get it', behaving as a rule of this later-applying, structure-blind kind."
77,"rhotic (rhoticisation, rhoticised vowels)","This general cover term is used to describe /r/-like sounds, which display remarkable articulatory diversity across the world's languages, being realized variously as trills, taps, flaps, or approximants, and at a range of different places of articulation, yet all conventionally grouped together under this single label because of certain shared acoustic and historical properties, as well as their tendency to pattern together phonologically within individual languages. Applied to entire language varieties, this same label describes whether or not that variety of a language pronounces historical /r/ in all positions, including syllable-final and pre-consonantal positions, with varieties fitting this label retaining /r/ everywhere and other varieties dropping it in those specific positions while often retaining it before a vowel, a split that underlies related phenomena such as linking and intrusive 'r'. A vowel described with the related adjective carries an /r/-like acoustic coloring throughout its articulation, typically produced with a specific tongue shape, such as a retroflexed or bunched tongue configuration, that gives the vowel a distinctive resonance, and such vowels are common in varieties fitting this label as the realization of a vowel followed historically by /r/.","American English generally fits this label, pronouncing a vowel with r-like coloring in 'bird' [bɝd], while many British varieties do not and drop the /r/ in that position."
78,rhyme,"In syllable structure, this term, sometimes spelled with an alternate vowel, names the constituent that groups together the nucleus and the coda of a syllable as a single unit, standing in contrast to the onset, which precedes this unit and is not included within it, and this constituent is a standard part of the hierarchical syllable tree assumed in most theories of syllable structure. This constituent is often treated as the domain relevant to syllable weight calculations, since weight is typically determined by properties internal to it, such as vowel length or the presence and number of closing consonants, while the onset generally does not contribute to syllable weight regardless of how many consonants it contains. The linguistic notion captured by this term is directly related to, and indeed the technical origin of, the everyday poetic sense of the same word, since two words are perceived as matching in that poetic sense precisely when they share an identical version of this constituent, meaning an identical nucleus and coda, even though their onsets may differ completely, which is exactly why words like a simple monosyllable and its counterpart differing only in the initial consonant are judged by ordinary speakers to match in that poetic sense.","'Cat' and 'bat' share an identical nucleus-plus-coda constituent, /æt/, differing only in their onset consonants /k/ and /b/, which is why they match in the everyday poetic sense."
79,rounding (lip rounding),"This term refers to an articulatory configuration in which the lips are drawn together and protruded forward into a rounded shape during the production of a sound, and it functions as a distinctive feature that can apply either to vowels, distinguishing vowels with this quality from those without it at otherwise similar heights and backness values, or to consonants, where it typically appears as a secondary articulation superimposed on some other primary place and manner of articulation. Among vowels, this quality tends to correlate cross-linguistically with backness, since back vowels are more commonly produced with it and front vowels more commonly without it, although many languages, including several found in Europe, do contrast front vowels with this quality against front vowels without it, showing that the two properties are in principle independent, separately specifiable features even though they show a strong statistical tendency to co-occur in a particular pattern. As a secondary articulation on consonants, this lip configuration is frequently found accompanying sounds such as certain sibilants or velar and labial-velar glides, where it is maintained simultaneously with the primary oral constriction that defines the sound's basic place and manner category.","The vowel /u/ as in 'boot' is a back vowel produced with this lip configuration, while the /ʃ/ in 'ship' carries the same lip configuration as a secondary articulation alongside its palato-alveolar place."
80,rule ordering (extrinsic vs. intrinsic order),"This term refers to the sequence in which multiple phonological rules apply to an underlying representation during a derivation, and because applying two or more rules in different relative orders can often produce genuinely different, and only one of them correct, surface outputs, determining the proper sequencing of rules is a central analytical task within rule-based generative phonology. One type of this sequencing must be explicitly stipulated by the grammar itself, as an independent, arbitrary statement about which rule applies before which other rule, with no way to predict this particular sequencing automatically just from the internal content or structure of the rules themselves. The other type, by contrast, refers to cases in which the correct application sequence actually follows automatically and predictably from general principles or from the structural relationship between the rules involved, such as one rule's output happening to create the necessary triggering environment for a second rule, meaning that the correct sequence does not need to be separately stipulated by the grammar at all, since it falls out naturally from the rules' own content. The theoretical preference among many phonologists for the second, self-derived type over the first, stipulated type reflects a broader preference for explanatory economy, since a grammar that needs fewer arbitrary stipulations is generally considered more elegant and more likely to reflect genuine linguistic generalizations.","If Rule A must apply before Rule B purely because the grammar stipulates that sequence with no independent motivation, the two rules follow the stipulated type of sequencing."
81,schwa,"This term names a mid-central, typically very short and unstressed vowel sound, phonetically among the most reduced and neutral vowel qualities possible, produced with the tongue in a relatively relaxed, roughly central position within the mouth that is neither notably high nor low, nor notably front nor back, giving it an acoustic and articulatory profile that closely approximates the vocal tract's neutral resting configuration. This vowel is extremely common in stress-timed languages like English, where it frequently arises as the automatic, predictable realization of an underlying vowel that has been phonetically reduced specifically because it occurs in an unstressed syllable, meaning that a wide variety of different underlying vowels can all surface as this one reduced quality once stress is removed from their syllable, making it function almost like a phonetic default outcome of vowel reduction rather than a vowel with a single, fixed underlying identity of its own. In some languages, this vowel is nonetheless a genuine, independently contrastive phoneme in its own right rather than merely a derived, reduced allophone of other vowels, and this cross-linguistic difference in its phonological status is an important point of variation studied in comparative phonology.","The final unstressed vowel in 'sofa' [ˈsoʊfə] is this reduced, central vowel typical of unstressed syllables in English."
82,semi-vowel,"This term is essentially a synonym for glide, referring to a sound articulated with an open, unobstructed vocal tract configuration very similar to that of a vowel but functioning phonologically as a consonant, typically occupying the margins of the syllable, in onset or coda position, rather than serving as the syllable nucleus the way a true vowel does. This label emphasizes the sound's hybrid or intermediate status, acoustically and articulatorily resembling a vowel quite closely, often a high vowel specifically, while behaving distributionally and phonologically like an ordinary consonant, for instance in triggering consonantal rather than vocalic article selection or in patterning with other consonants for purposes of syllabification and phonotactic rules. Because sounds of this kind are defined by a rapid transitional movement toward a following vowel target rather than by maintaining a steady articulatory posture the way a genuine vowel does, they are typically distinguished acoustically from true vowels by this characteristic dynamic transition, even when the extreme articulatory target they approach is essentially identical to that of a corresponding high vowel.","/w/ and /j/ are sounds of this hybrid type in English, articulated similarly to the vowels /u/ and /i/ but functioning as consonants in words like 'wet' and 'yes'."
83,sibilant,"This term names a fricative or affricate produced with an especially intense, high-frequency, hissing or hushing acoustic quality, resulting from directing a strong, focused, turbulent airstream against the back surface of the upper front teeth in addition to the primary oral constriction, which produces significantly louder and perceptually more salient frication noise than is found in non-members of this category produced elsewhere in the vocal tract. Sounds of this type are typically produced at the alveolar or palato-alveolar places of articulation, and in English this category consists of six sounds spanning both of these places, forming a natural class that behaves distinctively in several phonological processes, most notably in triggering the epenthesis rule that inserts an extra vowel before the regular plural or possessive suffix specifically when a noun already ends in a member of this category, avoiding two such sounds clashing directly next to each other. Although the fricatives /f/ and /v/ are technically specified with the same acoustic-intensity property that defines this category, they are conventionally excluded from it in descriptions of English because they do not pattern together with the other members in triggering this and other category-specific phonological processes.","The six English members of this category /s, z, ʃ, ʒ, tʃ, dʒ/ trigger vowel epenthesis before the plural suffix, giving 'buses' [bʌsɪz] rather than [bʌsz]."
84,"sonorant (sonority, sonority hierarchy)","This major class feature describes sounds produced with a relatively open vocal tract configuration that allows spontaneous, unimpeded voicing to occur without requiring the buildup of significant air pressure behind an obstruction, a category that includes all vowels along with certain consonants, namely nasals, liquids, and glides, standing in contrast to obstruents, which involve enough obstruction to make spontaneous voicing considerably more difficult to sustain. A closely related, more graded acoustic and perceptual property refers to the relative loudness, resonance, or vowel-likeness of a sound, and a proposed cross-linguistic ranking of major sound classes based on that property, typically ordering vowels as most prominent, followed by glides, then liquids, then nasals, and finally obstruents as least prominent, is used to explain and predict a wide range of phonotactic patterns, most notably why syllable-internal consonant clusters overwhelmingly tend to rise along that ranking moving toward the nucleus and fall moving away from it. This ranking also plays an important role in explaining which consonants are more likely to function as a syllable nucleus in languages that permit consonantal nuclei, since consonants higher on the ranking are considerably more likely to take on this nucleus-like role than those lower on it.","In the onset cluster /pl/ as in 'play', prominence rises from the less prominent stop /p/ to the more prominent liquid /l/, consistent with the general ranking's predictions for syllable structure."
85,spoonerism,"This term names a type of speech error in which the initial sounds, usually the onset consonants, of two words within an utterance are accidentally exchanged with each other, producing a comically altered result that is often distinct from, and sometimes homophonous or nearly homophonous with, other unintended real words, even though the speaker clearly intended the original, correctly ordered phrase. The term is named after the Reverend William Archibald Spooner, an Oxford clergyman famously, though probably somewhat apocryphally, associated with making frequent errors of exactly this type in his speech, and errors of this kind are studied by psycholinguists as valuable evidence about how speech is planned and assembled before articulation, since the fact that entire onset consonants can be exchanged between two separate words, while the rest of each word's structure remains correctly in place, suggests that speakers plan sequences of sounds according to some abstract linguistic structure, such as syllable position, rather than producing speech as a simple, structureless linear string of individual sounds one after another. Errors of this kind are closely related to, but generally distinguished from, simple metathesis, since that related process typically involves the reordering of sounds within a single word rather than an exchange of sounds between two distinct words.","Saying 'a lack of pies' instead of the intended 'a pack of lies' is a classic example of this kind of error, exchanging the initial consonants of the two words."
86,spreading (feature spreading),"This process, formally modeled within non-linear, autosegmental frameworks, occurs when a single property that is specified on one segment extends its influence and becomes associated with one or more additional neighboring segments as well, effectively causing that property to be shared across a wider stretch of the string than it was originally specified for, without the extending property necessarily being deleted or altered on its original host segment. This process is the mechanism most commonly used to formally represent vowel harmony, in which a property like backness or rounding specified on one vowel extends across intervening consonants to influence other vowels within the same word, as well as nasal harmony, in which the lowered-velum nasal property of a nasal consonant extends onto an adjacent vowel, producing a nasalized vowel, and certain types of assimilation more generally, in which a property belonging to one segment comes to be shared by a neighboring segment. In autosegmental representations, this process is depicted by adding a new association line connecting the extending property's original tier position to an additional segment on another tier, visually showing the property now linked to multiple segments simultaneously rather than existing as an isolated, independently specified property on each one.","In vowel harmony, a backness value specified on one vowel can extend across the word this way, causing all vowels in that word to share the same backness value."
87,palatalization (palatalized),"This process occurs when a consonant acquires an additional secondary articulation involving the raising of the front of the tongue toward the hard palate, or in a stronger form actually shifts its primary place of articulation further back toward the palatal or post-alveolar region, and it is typically triggered by the influence of an adjacent high front vowel or a palatal glide, whose own tongue-body position is anticipated or carried over onto the neighboring consonant. A consonant that has undergone this process is described with a related passive adjective, and it is one of the most common and productive assimilatory processes documented across the world's languages, occurring both as a synchronic, rule-governed alternation still active in many languages today and as a pervasive mechanism of historical sound change responsible for the origin of many modern consonant systems, including the historical development of several post-alveolar affricates and fricatives from earlier plain stops positioned before front vowels. This process can be understood formally as an instance of feature spreading, in which the front, palatal quality associated with a neighboring vowel or glide extends onto the consonant, and the degree of this influence can range from a subtle secondary coloring to a complete, categorical shift in the consonant's primary place of articulation.",The historical version of this process affecting Latin /k/ before front vowels helped give rise to the palato-alveolar and palatal consonants found in many of its Romance language descendants.
88,"stress (function, primary, secondary, placement)","This term names the relative prominence given to a particular syllable within a word or phrase compared to its neighboring syllables, typically realized through some combination of greater loudness, longer duration, and higher or more dynamically moving pitch, and every content word in a language that uses this property has at least one syllable designated as bearing the highest degree of it, while some longer words additionally carry one or more syllables with a lesser but still noticeably elevated degree of it compared to fully unaffected syllables. This property serves several distinct linguistic functions across different languages, including a purely lexical function, in which its position is simply a fixed, memorized property of each individual word with no independent meaning of its own, and a contrastive or grammatical function, in which shifting its position within an otherwise identical string of segments can distinguish one word or grammatical category from another. The rules or principles that determine which syllable within a word receives the highest degree of it vary considerably across languages, ranging from systems with a simple fixed rule, such as consistently marking the first or last syllable of every word, to considerably more complex systems that are sensitive to syllable weight, word length, or morphological structure, calculated using the metrical foot-based apparatus of the relevant theory.","In the noun 'record' [ˈrɛkərd], the most prominent syllable is the first, while in the verb 'record' [rɪˈkɔrd], prominence shifts to the second syllable, illustrating a grammatically contrastive function of this property."
89,"superscript (subscript, diacritic)","A mark of this general type is a small addition to a base phonetic symbol used to indicate some additional articulatory or phonetic detail that the base symbol alone does not capture, such as aspiration, nasalization, length, or a particular secondary articulation, allowing the International Phonetic Alphabet to represent much finer phonetic distinctions than could be captured using its core inventory of base symbols alone. One position for such an addition is raised and typically placed to the upper right of the base symbol, a common example being the small raised h used to mark aspiration following a stop consonant, while the other position is placed below the base symbol, a common example being the small ring placed underneath a symbol to indicate that a normally voiced sound is realized as voiceless in that particular instance. Because additions of this kind are added onto an existing base symbol rather than requiring an entirely new symbol for every possible fine phonetic nuance, they allow the IPA transcription system to remain compact and systematic while still being flexible enough to capture a very wide range of subtle phonetic detail relevant to careful, narrow phonetic transcription.","The raised h in [pʰ] marks aspiration using the upper-right position, while the small ring underneath in [n̥] marks voicelessness using the lower position."
90,suppletion,"This term names a morphological phenomenon in which a grammatical form that would ordinarily be expected to be built regularly from a shared root using regular affixation or regular alternation rules is instead realized using an entirely different, historically unrelated root or stem, so that the relationship between the two forms cannot be captured by any productive phonological rule at all and must simply be memorized as an irregular, listed exception in the lexicon. Forms related this way typically arise historically when two originally separate words or roots, each with its own distinct meaning or grammatical function, gradually merge together into a single synchronic paradigm over the course of language change, with speakers of later generations reanalyzing what were once two unrelated lexical items as different inflected forms of one single, irregular lexeme. This phenomenon is theoretically important because it represents the most extreme endpoint on a broader continuum of morphophonological irregularity, standing in sharp contrast to fully regular, productive alternations that can be generated by general phonological rules, and it demonstrates that not every relationship between related word forms in a language can or should be explained through a phonological derivation from a single shared underlying form.","The past tense of 'go' is realized as the entirely unrelated form 'went', historically derived from a different root rather than from any regular phonological process applied to 'go'."
91,syllabic (syllabicity),"This term describes a segment that functions as the nucleus of a syllable, bearing that syllable's peak of sonority and serving as the obligatory core around which the rest of the syllable's structure is organized, and while vowels have this property by default and near-universally across languages, certain sonorant consonants, particularly liquids and nasals, can also take it on in specific languages or specific phonetic environments, most typically when they occur adjacent to another consonant with no vowel available to serve as the nucleus instead. The more abstract property itself is sometimes treated as an independent distinctive feature in its own right within certain feature systems, allowing a formal, featural distinction to be drawn between, for example, a nasal that has taken on this property, functioning as its own syllable's nucleus, and one that has not, occurring instead in the onset or coda of a syllable whose nucleus is filled by an ordinary vowel. In transcription, a consonant marked with this property is typically shown with a small vertical line placed underneath the consonant symbol, explicitly indicating its nucleus-bearing status and distinguishing it visually from an otherwise identical consonant elsewhere in the syllable that lacks this property.","The final /n/ in a casual pronunciation of 'button' [ˈbʌʔn̩] can take on this nucleus-bearing property, functioning as the nucleus of the second syllable in the absence of a vowel."
92,synchrony vs. diachrony,"One member of this pair of perspectives refers to the study of a language system exactly as it exists at one particular point in time, analyzing the internal relationships, rules, and structure of that system on its own terms without any reference to how it came to be that way historically, treating the language as a coherent, self-contained object of description in its current state. The other member refers to the study of how a language changes and develops across successive stages over historical time, tracing the specific historical processes, such as individual sound changes, that transform an earlier stage of a language into a later one, or that lead to the divergence of related languages from a shared common ancestor. This foundational distinction, most closely associated with the linguist Ferdinand de Saussure, established two clearly separate but complementary perspectives from which language can be legitimately studied, and it remains a basic organizing principle throughout modern linguistics, since a pattern that appears arbitrary, irregular, or otherwise puzzling from the first, single-moment perspective frequently turns out to have a fully coherent and principled explanation once its historical development, viewed from the second perspective, is properly taken into account.","A description of the current voicing and epenthesis rules for English plurals takes the single-moment perspective, while an account of how those patterns historically developed takes the historical-development perspective."
93,unreleased (stop); unexploded,"A stop consonant described with either of these two labels is one in which the complete oral closure characteristic of stops is formed as expected, but the subsequent release of that closure, and the resulting audible burst of air that normally accompanies a fully released stop, either does not occur at all or is greatly weakened and largely inaudible, so that the primary auditory cue for the listener becomes the closure and its effect on neighboring sounds rather than any release burst itself. Stops fitting this description are especially common in word-final or utterance-final position in many languages, including English, where a stop at the very end of an utterance is frequently produced without its normal audible release, and this also commonly occurs when a stop is immediately followed by another stop or certain other consonants, since the articulators can move directly from the closure of the first stop into the closure of the second without an intervening release burst for the first. Because the release burst is one of the more salient acoustic cues phoneticians rely on for identifying and classifying stop consonants, stops fitting this description can sometimes be more difficult to identify from the acoustic signal alone, requiring greater reliance on other cues such as formant transitions in the preceding vowel.","The final /t/ in an utterance like 'That's that.' often fits this description, with the closure formed but no audible release burst at the very end."
94,"velar (velum, velarization)","The soft palate, a movable, muscular flap of tissue located at the back of the roof of the mouth, positioned behind the harder, bony palate further forward, functions as a valve controlling whether airflow is directed exclusively through the oral cavity, when it is raised to seal off the nasal passage, or is allowed to pass through the nasal cavity as well, when it is lowered, making its position the primary anatomical basis for the entire oral versus nasal distinction in speech sounds. A place of articulation named after this structure describes consonants in which the back of the tongue is raised to make contact with or approach it, and consonants made here are found in the majority of the world's languages, typically including at least a voiceless and voiced stop pair produced at this location. A related secondary articulation, also named after this same structure, refers to a raising of the back of the tongue toward it simultaneously with some other primary articulation occurring elsewhere in the vocal tract, the clearest and most familiar example being the dark allophone of the lateral /l/ found in coda position in many varieties of English.","/k/ and /g/, as in 'cat' and 'go', are produced with the back of the tongue raised toward this same soft-palate structure."
95,vocal tract,"This term names the entire air passage extending from the vocal folds within the larynx all the way up through the pharynx and into either the oral cavity or the nasal cavity, encompassing every anatomical structure, including the tongue, lips, teeth, palate, and velum, that can be actively manipulated to shape and modify the raw sound generated at the vocal folds into the full range of distinct speech sounds found across human languages. This passage functions acoustically much like a variable-shape resonating tube or filter, and different configurations of the tongue, lips, and jaw change its overall shape and length, which in turn changes its resonant frequencies, called formants, producing the wide variety of different vowel and consonant qualities that listeners perceive as distinct speech sounds. Articulatory phonetics is largely devoted to precisely describing the various possible configurations of this passage used to produce the different sounds of human language, typically dividing it conceptually into the oral cavity, the nasal cavity, and the pharyngeal cavity, and describing consonants and vowels in terms of exactly where and how it is constricted or shaped during their articulation.",Changing the shape of this passage by moving the tongue from a high front position to a low back position shifts the vowel produced from something like /i/ toward something like /ɑ/.
96,"voiced (voiceless, voicing, vocal cords = vocal folds)","This property depends on whether the vocal folds, also commonly called the vocal cords, are vibrating during the production of a given sound, with one value of the property involving rapid, periodic vibration of the vocal folds as air passes through the glottis, and the opposite value involving vocal folds that are held apart, allowing air to pass through relatively freely without this characteristic vibration occurring at all. This is one of the most fundamental and cross-linguistically widespread distinctive properties used to organize consonant inventories, with many languages, including English, contrasting pairs of consonants that are identical in place and manner of articulation but differ only in whether they are produced with or without vocal fold vibration, and this same laryngeal distinction also underlies certain other phonation types, such as breathy or creaky voice, that some languages exploit contrastively as well. The two alternative names for the vibrating structure itself refer to the identical anatomical tissue within the larynx, with one term now generally preferred in more technical phonetic and phonological writing because it more accurately reflects the fold-like tissue structure involved, though the other term remains extremely common in everyday, non-technical usage.","/b/ and /p/ are identical in place and manner, bilabial stops, differing only in this property: /b/ involves vocal fold vibration, while /p/ does not."
97,voice onset time (VOT),"This acoustic measurement, commonly abbreviated with three letters, is a precise measurement of the time interval, usually measured in milliseconds, between the moment a stop consonant's oral closure is released and the moment voicing, meaning regular vocal fold vibration, actually begins for the following vowel or sonorant sound, and it serves as one of the primary quantitative acoustic cues phoneticians use to distinguish and classify stop consonants along the voicing and aspiration dimensions. A negative value on this measurement indicates that voicing actually begins before the release of the stop closure, a pattern called prevoicing that is characteristic of certain fully voiced stops in many languages, a value close to zero indicates that voicing begins essentially at the same moment as the release, typically characteristic of plain, unaspirated voiceless stops, and a longer, clearly positive value indicates a substantial voiceless interval following the release before voicing begins, characteristic of aspirated stops. Because this measurement can be taken with considerable precision from acoustic waveforms and spectrograms, it has become an extremely important experimental tool in phonetics for comparing voicing and aspiration contrasts both within a single language and across different languages, revealing that languages can differ systematically in exactly where along this continuum they draw their categorical voicing boundaries.","Aspirated [pʰ] has a long positive value of perhaps 60 milliseconds or more on this measurement, while unaspirated [p] has a value close to zero, with voicing beginning almost immediately at release."
98,"vowel (height, backness, reduction)","This term names a speech sound produced with a relatively open vocal tract configuration, without the kind of narrow constriction that would create audible turbulent frication, and sounds of this type are typically described and classified along three main articulatory dimensions: how high or low the tongue body is positioned in the mouth, ranging from a raised position close to the palate down to a much lower position with the jaw more open; how far forward or backward the tongue body is positioned; and whether the lips are rounded during production. A related process refers to the tendency, especially pronounced in stress-timed languages like English, for sounds of this type occurring in unstressed syllables to shift toward a more centralized, less extreme articulatory target, frequently converging toward schwa, compared to the fuller, more peripheral articulation the same underlying sound would receive if it occurred instead in a stressed syllable. The height and backness dimensions together define the conventional chart used throughout phonetics to represent and compare the inventories of such sounds across different languages.","The sound of this type in the stressed first syllable of 'photograph' is relatively full, while the corresponding unstressed sound in related 'photography' shifts toward a reduced, centralized schwa quality."
99,vowel change (Great Vowel Shift),"This term refers broadly to any historical alteration in the pronunciation of vowels within a language over time, encompassing shifts in vowel height, backness, rounding, length, or diphthongization, and alterations of this kind are a pervasive and well-documented feature of virtually every language's history, often occurring as part of larger, systematically interconnected chains of related shifts rather than as isolated, independent changes affecting just one single vowel in complete isolation from all the others. The most famous specific example of such a systematic, interconnected historical alteration is a series of related shifts in the pronunciation of the long vowels of English that took place gradually over several centuries, roughly between the late medieval and early modern periods, during which the long vowels of the language were raised, and the vowels that were already highest were pushed to become diphthongs, so that a long vowel pronounced one way in Middle English came to be pronounced in a systematically different way in later Modern English. Because English spelling conventions were largely established prior to the completion of this famous historical shift, it is frequently cited as one of the major historical reasons for the often puzzling mismatch between modern English spelling and modern English pronunciation.","The Middle English long vowel in a word like 'name', once pronounced roughly like modern 'nahm', shifted through this famous historical process toward its modern pronunciation with a diphthong, [neɪm]."
